transaction_id,amount,hour,device_type,location,account_age_days,transaction_frequency,failed_attempts,distance_from_last_transaction,previous_transaction_amount,new_device,location_changed,night_transaction,amount_ratio,is_fraud
TXN100071,5105.31,16,Mobile,Bangalore,2714,8,2,27.16,766.97,0,0,0,6.647798742138365,0
TXN100072,1058.04,9,Mobile,Kolkata,961,18,1,3.89,569.38,0,0,0,1.854973877064413,0
TXN100073,5242.97,23,Mobile,Bangalore,1004,26,1,3.93,299.88,0,0,1,17.42545200744483,0
TXN100074,79.86,4,Desktop,Mumbai,1411,22,0,11.79,451.32,0,0,1,0.17655642023346305,0
TXN100075,2494.65,18,Mobile,Chennai,1769,1,0,26.59,326.4,0,0,0,7.619578497251069,0
TXN100076,1196.37,10,Mobile,Kolkata,2743,24,0,3.6,219.12,0,0,0,5.435080864982736,1
TXN100077,813.21,9,Mobile,Bangalore,989,15,0,10.93,551.05,0,1,0,1.473073091205507,0
TXN100078,1202.02,2,Mobile,Chennai,533,17,0,16.39,113.3,0,0,1,10.516360454943133,0
TXN100079,150.27,21,Mobile,Delhi,1798,18,1,15.58,1052.77,0,0,0,0.14260227563889655,0
TXN100080,880.36,23,Mobile,Kolkata,974,20,2,41.47,723.39,0,0,1,1.2153121937078093,0
TXN100081,1567.3,9,Mobile,Bangalore,2895,26,2,8.66,261.22,0,0,0,5.977042178323544,0
TXN100082,4807.32,1,Mobile,Delhi,2152,18,0,3.84,520.76,0,0,1,9.213661453541858,0
TXN100083,653.1,8,Mobile,Delhi,1809,5,1,4.95,2414.88,0,1,0,0.2703362749805454,0
TXN100084,488.58,4,Mobile,Pune,1296,27,0,36.07,424.04,0,1,1,1.1494918125352906,0
TXN100085,663.97,20,Mobile,Kolkata,1710,7,2,13.75,1324.59,0,0,0,0.500886397754962,0
TXN100086,2739.15,16,Mobile,Hyderabad,724,23,0,10.6,510.96,0,1,0,5.3503203375263695,1
TXN100087,1523.48,5,Mobile,Delhi,2265,26,3,23.68,239.19,0,1,1,6.342811940547067,1
TXN100088,645.64,10,Desktop,Delhi,203,5,1,12.34,266.77,0,0,0,2.411173768532696,0
TXN100089,1832.19,4,Mobile,Pune,988,14,2,134.26,686.5,1,0,1,2.6650036363636365,1
TXN100090,1208.43,6,Mobile,Mumbai,461,3,0,11.13,1423.56,0,0,0,0.8482829786039199,0
TXN100091,2888.94,6,Desktop,Delhi,1809,21,0,9.31,853.61,0,0,0,3.380419138554428,0
TXN100092,543.45,3,Mobile,Bangalore,1197,13,2,44.46,1937.85,0,0,1,0.2802950202439591,0
TXN100093,790.24,20,Mobile,Kolkata,2457,4,0,2.59,571.64,0,0,0,1.3799944118468848,0
TXN100094,740.92,9,Mobile,Kolkata,264,22,0,1.59,1231.45,0,0,0,0.601176518317173,0
TXN100095,253.78,23,Mobile,Mumbai,845,17,0,12.71,395.75,0,0,1,0.6396471329552615,0
TXN100096,1474.57,17,Mobile,Hyderabad,2643,1,0,91.38,680.43,0,0,0,2.1639346668036334,0
TXN100097,1423.76,0,Mobile,Hyderabad,2523,13,0,8.84,340.62,0,0,1,4.167671681985832,0
TXN100098,1102.26,13,Mobile,Delhi,2028,8,1,23.74,191.92,0,0,0,5.71356002488078,0
TXN100099,867.32,5,Tablet,Chennai,190,6,1,13.36,903.86,0,0,1,0.9585129191256107,0
TXN100100,266.3,10,Desktop,Hyderabad,2276,14,0,25.1,465.48,0,1,0,0.5708712056251072,1
TXN100101,720.07,13,Tablet,Hyderabad,2706,9,1,8.37,321.09,0,0,0,2.2356173740258938,0
TXN100102,778.43,19,Mobile,Pune,967,26,0,46.29,312.57,0,0,0,2.482476002168575,0
TXN100103,491.63,2,Desktop,Hyderabad,1595,12,1,2.0,77.68,0,0,1,6.248474834773766,0
TXN100104,933.29,15,Desktop,Bangalore,548,28,1,32.79,126.8,0,0,0,7.302738654147105,0
TXN100105,1642.63,15,Tablet,Chennai,2394,1,1,1.65,234.75,0,0,0,6.9676776246023335,0
TXN100106,7231.39,6,Mobile,Kolkata,2219,15,1,94.1,1434.96,0,0,0,5.035927184601243,0
TXN100107,1305.81,7,Desktop,Delhi,1242,7,1,4.29,727.33,1,0,0,1.7928823472876305,0
TXN100108,1418.78,3,Mobile,Pune,2397,17,0,9.61,914.19,0,0,1,1.550257323615861,0
TXN100109,1017.96,11,Mobile,Pune,2644,12,1,10.12,672.94,0,1,0,1.510460871887705,0
TXN100110,160.97,11,Mobile,Kolkata,2912,23,0,73.55,249.11,0,1,0,0.6435968174003438,1
TXN100111,1067.94,9,Tablet,Pune,855,23,0,0.43,317.93,0,0,0,3.3485090772269777,0
TXN100112,1164.71,11,Mobile,Delhi,635,29,0,6.08,203.8,0,0,0,5.687060546875,0
TXN100113,12877.57,10,Mobile,Mumbai,1531,24,2,17.31,1367.76,0,1,0,9.408201583915368,1
TXN100114,904.73,10,Tablet,Bangalore,1494,14,0,16.65,243.95,0,0,0,3.6935292916921822,0
TXN100115,1482.59,14,Mobile,Pune,698,13,0,4.21,662.36,0,0,0,2.2349704534491073,0
TXN100116,1059.22,5,Desktop,Chennai,1218,21,0,11.81,1503.31,0,0,1,0.7041234851858992,0
TXN100117,340.81,10,Desktop,Mumbai,374,24,0,0.44,232.82,0,0,0,1.4575742023778975,0
TXN100118,3438.61,1,Mobile,Chennai,2145,10,0,31.34,284.04,0,0,1,12.06360510805501,0
TXN100119,2326.06,23,Mobile,Kolkata,1883,29,1,2.83,130.87,0,0,1,17.639038446955333,0
TXN100120,2418.81,21,Mobile,Hyderabad,2328,21,0,3.63,539.7,0,1,0,4.473478823746994,0
TXN100121,441.69,8,Tablet,Chennai,1054,25,0,11.33,375.06,0,0,0,1.174520023400521,0
TXN100122,4459.51,10,Desktop,Pune,1765,27,3,36.01,663.93,0,1,0,6.706736047403487,0
TXN100123,269.93,15,Mobile,Mumbai,1622,24,1,10.64,851.12,1,0,0,0.3167746326808431,0
TXN100124,1972.11,12,Mobile,Bangalore,351,13,0,13.34,334.26,0,1,0,5.882330131837977,0
TXN100125,9803.12,12,Mobile,Pune,2926,29,2,0.81,635.23,0,1,0,15.40813856624177,0
TXN100126,407.26,21,Desktop,Kolkata,1370,27,0,11.54,901.32,0,0,0,0.45134763720187954,0
TXN100127,622.47,21,Mobile,Bangalore,1416,7,0,50.53,308.72,0,0,0,2.0097830298333976,0
TXN100128,1211.54,17,Mobile,Hyderabad,1614,13,0,1.16,1053.99,0,0,0,1.148390032133006,0
TXN100129,662.83,20,Desktop,Delhi,564,7,1,8.26,1010.19,1,0,0,0.6554950108288254,0
TXN100130,232.6,0,Mobile,Mumbai,2802,3,2,16.73,974.12,0,0,1,0.23853474444170975,0
TXN100131,1174.46,19,Mobile,Delhi,2810,6,0,31.16,575.35,1,1,0,2.0377548364708944,0
TXN100132,379.06,9,Desktop,Kolkata,2402,22,1,33.79,715.34,0,1,0,0.5291621297149398,0
TXN100133,1760.92,18,Mobile,Kolkata,1053,27,0,0.95,588.81,0,1,0,2.9855716247605164,0
TXN100134,437.28,16,Mobile,Kolkata,178,14,0,47.3,607.73,0,0,0,0.7183480360751071,0
TXN100135,5166.42,0,Desktop,Hyderabad,1751,21,1,13.33,519.0,0,0,1,9.935423076923078,0
TXN100136,501.07,0,Mobile,Chennai,228,18,0,0.48,410.98,1,1,1,1.21624836157095,1
TXN100137,794.68,16,Mobile,Chennai,108,16,0,14.01,583.58,0,1,0,1.3594033323069552,1
TXN100138,2473.82,14,Desktop,Hyderabad,2007,29,1,41.3,1997.31,1,0,0,1.237956072881585,1
TXN100139,320.26,1,Mobile,Bangalore,2806,26,1,4.53,567.07,0,0,1,0.5637685496505712,0
TXN100140,1376.72,10,Desktop,Mumbai,205,7,0,42.23,1053.72,0,0,0,1.3052942961165048,0
TXN100141,4052.72,20,Mobile,Hyderabad,2413,5,0,16.5,1343.95,0,1,0,3.013286739283988,0
TXN100142,219.76,1,Mobile,Hyderabad,753,18,0,3.96,1114.23,0,1,1,0.19705352259175235,0
TXN100143,1319.01,19,Mobile,Mumbai,2570,13,2,13.94,2219.0,0,1,0,0.5941486486486487,0
TXN100144,1422.09,8,Mobile,Pune,2114,4,0,9.86,909.79,0,0,0,1.5613807793234444,0
TXN100145,2396.64,18,Desktop,Bangalore,2047,28,1,25.01,1256.19,0,0,0,1.9063466938171636,0
TXN100146,318.32,1,Mobile,Bangalore,2192,11,0,17.66,1935.76,0,0,1,0.16435696730622276,0
TXN100147,292.82,15,Mobile,Mumbai,1058,17,2,18.24,420.36,0,1,0,0.6949401936586291,1
TXN100148,1848.15,19,Desktop,Delhi,2526,12,1,15.88,526.78,0,0,0,3.5017431505551557,0
TXN100149,1475.84,8,Mobile,Pune,2829,28,2,26.67,1044.03,0,1,0,1.4122465383768887,0
TXN100150,1408.8,19,Desktop,Chennai,2958,24,1,5.03,258.61,0,1,0,5.426601440622472,0
TXN100151,1550.68,20,Mobile,Mumbai,2084,5,0,19.12,1338.07,0,0,0,1.1580275863099017,0
TXN100152,555.56,3,Mobile,Bangalore,1351,24,0,5.7,215.33,1,0,1,2.568113530254703,0
TXN100153,1383.34,23,Mobile,Pune,1290,17,2,1.4,499.2,0,1,1,2.765573770491803,0
TXN100154,1470.08,12,Mobile,Delhi,2410,24,0,26.59,607.36,0,0,0,2.4164639358274704,0
TXN100155,536.81,14,Mobile,Hyderabad,2952,29,0,5.7,186.86,0,0,0,2.8575002661556472,0
TXN100156,7085.28,19,Mobile,Hyderabad,1967,5,1,1.49,500.3,0,1,0,14.133812088569718,0
TXN100157,1761.34,1,Mobile,Hyderabad,1169,23,1,4.38,223.45,0,0,1,7.847360213856093,1
TXN100158,333.18,19,Desktop,Chennai,666,3,0,98.94,245.69,0,0,0,1.350601970083911,0
TXN100159,2114.46,17,Mobile,Pune,975,29,0,36.2,1810.54,0,0,0,1.1672168431279464,0
TXN100160,413.77,23,Desktop,Kolkata,2792,13,1,16.71,488.02,0,0,1,0.8461208130546808,0
TXN100161,2409.28,8,Mobile,Bangalore,1834,19,0,8.31,1479.2,0,0,0,1.6276719362248346,0
TXN100162,3493.28,19,Mobile,Delhi,2056,13,3,8.35,763.89,0,0,0,4.5670357829230355,1
TXN100163,482.66,0,Mobile,Bangalore,2364,9,1,8.84,887.85,0,0,1,0.5430162569612421,0
TXN100164,2873.76,2,Mobile,Pune,516,23,0,82.5,477.96,0,0,1,6.000000000000001,0
TXN100165,1657.03,22,Tablet,Chennai,2375,27,2,28.17,197.16,1,0,0,8.362081146548244,0
TXN100166,2495.04,16,Desktop,Chennai,1635,16,0,8.69,2451.05,0,0,0,1.017532268917844,0
TXN100167,7308.5,10,Mobile,Pune,2959,22,0,0.35,1115.54,0,0,0,6.545667866802802,0
TXN100168,858.01,23,Mobile,Mumbai,2216,20,0,6.13,497.9,0,1,1,1.7198035678492685,1
TXN100169,516.08,7,Tablet,Pune,1202,21,0,4.66,348.1,0,0,0,1.47831566886279,0
TXN100170,450.56,20,Desktop,Kolkata,2743,15,1,4.71,131.18,0,0,0,3.4086851263428657,0
TXN100171,485.02,11,Mobile,Bangalore,2092,8,0,59.75,395.39,0,1,0,1.2235929261585812,0
TXN100172,1015.26,10,Mobile,Kolkata,2521,16,1,5.56,1556.53,0,0,0,0.6518397719466078,0
TXN100173,1542.49,12,Mobile,Hyderabad,1391,17,0,3.54,1072.85,0,0,0,1.4364110443730504,0
TXN100174,1446.19,14,Desktop,Mumbai,134,18,2,35.63,551.54,0,0,0,2.6173489702103017,0
TXN100175,2507.86,19,Desktop,Kolkata,1984,19,1,34.29,221.72,0,0,0,11.260147270114944,1
TXN100176,1110.98,16,Mobile,Bangalore,2873,11,0,11.29,900.17,0,0,0,1.2328195567983844,0
TXN100177,4691.62,11,Mobile,Mumbai,2746,5,1,19.82,691.32,0,0,0,6.776663970418303,0
TXN100178,841.63,18,Tablet,Mumbai,268,13,0,79.42,527.43,0,0,0,1.5926991276044131,1
TXN100179,16650.06,19,Desktop,Pune,2897,27,0,59.87,679.51,0,1,0,24.467032078882017,1
TXN100180,2050.15,10,Mobile,Delhi,651,15,2,6.33,414.16,0,0,0,4.938216591193757,0
TXN100181,465.37,9,Mobile,Mumbai,219,24,0,10.23,368.96,0,0,0,1.257892745161639,0
TXN100182,375.82,16,Mobile,Pune,1621,5,1,7.34,1546.21,0,1,0,0.2429017392596997,0
TXN100183,1776.63,21,Mobile,Kolkata,2335,21,0,4.36,1023.21,0,0,0,1.734634498784429,0
TXN100184,877.03,12,Mobile,Chennai,1135,15,0,4.99,354.99,0,0,0,2.463636619006152,0
TXN100185,2239.48,15,Mobile,Kolkata,222,6,0,19.3,102.53,0,1,0,21.631218004443156,1
TXN100186,1760.3,19,Tablet,Hyderabad,2075,25,1,15.69,1103.31,0,0,0,1.5940270395088336,0
TXN100187,1019.61,19,Desktop,Delhi,2649,9,1,34.27,918.8,0,0,0,1.1085127201565559,0
TXN100188,470.22,16,Mobile,Mumbai,2015,25,0,9.57,849.23,0,0,0,0.553050351081472,0
TXN100189,241.09,4,Desktop,Delhi,427,15,0,23.65,1104.5,0,0,1,0.21808231569425598,0
TXN100190,701.69,8,Desktop,Pune,825,12,0,115.88,484.91,0,0,0,1.444074005474265,1
TXN100191,2582.2,21,Mobile,Hyderabad,2121,27,1,11.82,282.76,0,0,0,9.099943614321962,0
TXN100192,1358.44,23,Desktop,Hyderabad,2966,27,0,17.84,127.67,0,0,1,10.557550322530503,0
TXN100193,315.53,3,Mobile,Delhi,2545,13,0,22.91,135.53,0,0,1,2.311067164725701,0
TXN100194,1303.99,8,Desktop,Bangalore,319,21,0,19.65,862.71,0,0,0,1.5097544314642646,0
TXN100195,1612.14,15,Mobile,Hyderabad,2559,6,0,4.88,845.89,0,0,0,1.9036002314350153,0
TXN100196,453.11,6,Mobile,Chennai,1419,7,0,17.46,1959.85,0,0,0,0.2310783588749777,0
TXN100197,1278.86,13,Mobile,Chennai,196,16,1,0.62,857.61,0,0,0,1.4894538847672398,0
TXN100198,1162.36,13,Mobile,Mumbai,289,19,0,36.85,284.41,0,0,0,4.072597316141691,0
TXN100199,349.68,6,Mobile,Bangalore,776,29,0,11.7,888.92,0,0,0,0.3929341963322546,0
TXN100200,1568.36,23,Tablet,Bangalore,2233,1,0,12.97,1287.56,0,0,1,1.2171416154467,0
TXN100201,1921.35,15,Mobile,Pune,1860,18,0,1.77,637.16,0,0,0,3.010765325310267,0
TXN100202,3239.1,17,Mobile,Mumbai,2782,4,0,3.37,1120.94,0,0,0,2.887052783571314,0
TXN100203,3145.73,5,Mobile,Hyderabad,202,9,0,9.45,1602.2,0,0,1,1.9621569361277444,0
TXN100204,276.53,6,Desktop,Kolkata,869,1,2,41.88,2421.48,0,1,0,0.11415161322281298,1
TXN100205,429.31,18,Mobile,Delhi,2394,13,1,3.02,775.7,0,0,0,0.5527359340800824,0
TXN100206,1835.43,7,Mobile,Bangalore,345,6,0,8.71,239.15,1,1,0,7.642848219862586,0
TXN100207,1833.14,0,Desktop,Bangalore,2477,20,1,40.05,1378.89,1,0,1,1.3284682112342288,0
TXN100208,1835.46,16,Tablet,Kolkata,141,6,1,28.62,728.39,0,0,0,2.516431538683009,0
TXN100209,51675.11,18,Desktop,Pune,586,2,0,8.8,1817.8,0,0,0,28.411650538816804,0
TXN100210,1940.87,21,Mobile,Hyderabad,1852,18,0,2.05,883.34,1,0,0,2.1947101793427866,0
TXN100211,3413.75,6,Mobile,Pune,676,7,0,16.34,634.41,0,1,0,5.372515383767961,0
TXN100212,2846.94,17,Desktop,Delhi,1360,5,0,5.71,742.86,0,0,0,3.8272524399752643,0
TXN100213,2103.57,5,Tablet,Chennai,1442,22,0,18.0,712.88,0,1,1,2.9466717095310138,0
TXN100214,800.1,20,Tablet,Bangalore,1247,16,1,0.28,495.73,0,1,0,1.6107342016789805,1
TXN100215,2342.49,5,Mobile,Pune,838,14,1,6.66,757.01,0,0,1,3.090315431194839,0
TXN100216,506.32,0,Desktop,Kolkata,1682,14,0,4.38,561.61,0,0,1,0.8999484545244485,0
TXN100217,865.39,9,Mobile,Hyderabad,1633,4,1,25.82,154.04,0,0,0,5.58172084623323,0
TXN100218,674.95,22,Mobile,Pune,2855,14,0,27.15,408.24,0,0,0,1.6492767080441795,1
TXN100219,1190.2,7,Mobile,Bangalore,1664,1,0,28.59,559.78,0,0,0,2.1224009415457044,0
TXN100220,11099.54,6,Tablet,Chennai,2910,24,0,73.6,1072.16,0,1,0,10.342856610384286,0
TXN100221,169.48,8,Mobile,Kolkata,1028,1,0,18.89,584.21,0,0,0,0.2896054407819415,0
TXN100222,2178.21,0,Mobile,Mumbai,1480,8,1,37.16,879.92,0,0,1,2.472653589429233,0
TXN100223,218.61,10,Tablet,Pune,2487,27,1,18.21,135.61,0,1,0,1.6002488836834785,0
TXN100224,684.08,2,Mobile,Hyderabad,1134,1,1,10.22,639.86,0,0,1,1.0674406266579284,0
TXN100225,3258.27,17,Mobile,Kolkata,2583,26,0,31.16,744.7,0,0,0,4.36941129140405,0
TXN100226,1169.44,5,Desktop,Delhi,1351,26,0,11.53,494.24,0,0,1,2.3613601486148132,0
TXN100227,373.25,10,Desktop,Kolkata,2107,20,0,59.38,164.19,0,0,0,2.2595193413644896,0
TXN100228,536.3,4,Mobile,Kolkata,869,6,0,0.4,787.14,0,1,1,0.6804628619280838,0
TXN100229,2163.75,19,Tablet,Mumbai,250,1,1,20.02,1249.62,0,0,0,1.7301418496425773,0
TXN100230,528.28,3,Mobile,Pune,400,9,1,63.12,1546.77,1,1,1,0.3413168623245056,1
TXN100231,1361.66,7,Tablet,Delhi,1303,23,0,8.14,394.28,0,0,0,3.4447986237603727,0
TXN100232,1147.76,9,Desktop,Kolkata,1808,1,0,2.88,615.49,1,0,0,1.861765803176045,0
TXN100233,571.58,2,Mobile,Chennai,2031,26,1,6.74,6783.69,0,0,1,0.08424555875065774,0
TXN100234,9357.6,12,Desktop,Kolkata,53,18,0,1.71,738.98,0,0,0,12.64574718235628,0
TXN100235,2067.14,16,Mobile,Delhi,2406,5,1,8.33,673.74,0,0,0,3.063609686694134,0
TXN100236,144.73,4,Mobile,Bangalore,2882,19,3,23.82,1852.19,0,0,1,0.07809776655388816,0
TXN100237,1321.41,7,Tablet,Chennai,290,1,0,32.44,876.92,0,0,0,1.5051599234554403,0
TXN100238,565.78,18,Mobile,Kolkata,2805,5,2,17.48,404.11,0,0,0,1.396608328602108,0
TXN100239,2571.99,17,Mobile,Mumbai,530,24,0,25.36,547.15,0,0,0,4.692128067134908,0
TXN100240,496.45,0,Mobile,Kolkata,2004,12,1,1.04,329.26,0,0,1,1.503209592442318,0
TXN100241,977.76,3,Mobile,Bangalore,593,1,0,4.34,1336.11,0,0,1,0.7312487379497573,0
TXN100242,1817.08,17,Desktop,Pune,1420,6,1,9.73,287.92,0,0,0,6.289215007614564,0
TXN100243,2606.48,13,Tablet,Bangalore,1189,17,0,40.07,1144.15,0,0,0,2.2761035672182683,0
TXN100244,330.2,23,Mobile,Chennai,1057,8,0,7.69,251.12,0,1,1,1.3096937966047912,1
TXN100245,784.85,10,Mobile,Kolkata,1801,5,1,1.15,461.01,0,0,0,1.6987727538364972,0
TXN100246,682.02,8,Mobile,Delhi,2070,3,0,4.81,362.03,0,0,0,1.8786877117593588,0
TXN100247,570.59,12,Mobile,Pune,2435,28,0,28.35,416.8,0,0,0,1.3657012924844423,0
TXN100248,6408.97,16,Mobile,Delhi,2789,15,0,30.22,2408.8,0,0,0,2.6595443605278444,0
TXN100249,1644.15,14,Mobile,Mumbai,2150,28,0,18.16,408.04,0,0,0,4.019533541951887,0
TXN100250,310.79,1,Mobile,Chennai,1094,28,0,90.34,361.83,0,0,1,0.856571948295345,0
TXN100251,2745.89,5,Mobile,Mumbai,2573,24,0,20.65,694.75,0,1,1,3.9466618756737333,0
TXN100252,9155.92,6,Tablet,Kolkata,2502,26,1,5.46,357.79,0,0,0,25.518882912009808,0
